hotel_id,longitude,latitude
262581,105.850149,21.031931
262725,105.848615,21.029432
262759,107.595592,16.467617
262761,108.323382,15.879755
262815,108.215927,10.952976
262891,106.690625,10.789893
263028,106.694199,10.767986
263080,108.434682,11.941887
263083,107.077667,10.34233
263260,108.655566,15.494075
263318,106.667229,10.974055
263495,106.788217,20.71203
263516,109.243648,12.211851
264347,106.703613,10.77224
264387,103.965919,22.500107
266496,105.808725,21.061034
266700,108.208977,16.049368
266768,105.158429,9.174423
266908,106.623856,17.477646
267048,108.251106,10.951462
267074,105.84692,21.034819
267132,106.677023,10.766696
267261,105.851292,21.034649
267272,108.437156,11.890717
267450,108.197021,10.943683
267496,106.707249,10.73051
267671,106.991043,20.921038
267711,106.686449,10.76993
267732,106.704102,10.780845
267896,109.029969,11.584168
267905,108.28478,15.970664
270885,107.043788,20.728541
271011,106.985301,20.919464
271013,107.049373,20.724769
271413,104.035077,10.055032
271561,108.265916,16.008604
271633,106.664081,10.795295
271645,107.052069,20.724659
271674,105.787933,21.032316
274278,107.577839,11.420634
276108,106.689563,10.766848
276245,105.84332,21.02493
276512,106.707077,10.730268
276624,106.69425,10.768829
276659,105.674538,18.686598
276749,107.059219,10.576142
276815,106.697022,10.771771
276929,106.045135,10.323966
279353,105.851479,21.019377
279356,106.667013,10.8089
280290,105.690149,18.665587
280374,108.223465,16.074159
280378,106.642799,10.802529
280474,105.600999,18.977977
280516,105.823751,21.597814
280519,106.71254,20.845657
280524,105.76478,10.040697
280586,105.842543,21.028415
280618,106.705484,10.777536
280768,107.074255,10.341159
280788,108.24815,16.042576
280805,105.847541,21.033702
280938,105.789177,19.806421
280998,109.19532,12.232218
281049,103.961472,10.209994
281223,108.146423,16.095381
281340,105.852303,21.036503
281358,109.025406,11.576598
281367,107.590164,16.461309
281378,106.691096,10.772596
281497,108.227005,16.04837
281523,105.078284,20.654267
281592,108.430097,11.94406
281593,107.051618,20.721698
281600,108.247795,16.049654
281646,103.844265,22.337453
281840,106.694131,10.767977
281841,106.694116,10.768244
283741,106.704253,10.779788
283787,105.807968,21.033157
283790,108.248285,16.048829
283849,106.733749,10.798404
284066,106.989752,20.923611
284094,106.691147,10.767423
284114,109.195572,12.236197
284282,105.84192,21.01886
284305,105.972056,20.247793
284487,105.901707,18.331864
284516,106.694067,10.768668
284531,108.220641,16.085075
284605,103.861298,10.305548
284607,107.050601,20.722776
284713,105.687584,18.676516
284792,108.0261,10.795884
284903,108.438034,11.944573
284906,105.831256,21.061715
285051,109.23584,13.771006
285191,106.703878,10.779926
285380,109.240501,13.77192
285738,105.847041,21.036504
285757,106.984692,20.921217
286251,105.851682,21.034644
286368,109.193855,12.245135
286525,107.092221,10.339412
286608,106.68305,10.764677
286615,108.195755,10.942724
286627,105.81134,21.033718
286768,106.682326,10.830948
286785,107.077996,10.340612
286890,107.027824,20.947735
287007,108.732177,15.367956
287090,109.217369,13.754624
287126,109.23839,13.777614
287127,109.22462,13.763728
287338,106.698514,10.870923
287793,106.692398,10.770016
287954,108.324707,15.876144
287957,105.665886,18.688046
287959,106.694131,10.767977
287960,107.089813,10.33757
287965,108.307176,16.119826
287984,107.999054,13.979668
288030,106.982886,20.922394
288031,107.045456,20.956932
288054,106.690115,10.775011
288075,105.844893,21.04217
288116,105.878334,20.358315
288126,105.8485,21.029007
288142,105.897232,18.3377
288164,106.688545,10.770875
288165,106.705333,10.777256
288263,108.263802,16.01263
288271,106.692402,10.768215
288282,106.681931,20.859764
288312,108.209763,10.95064
288393,105.85388,21.03186
288399,108.211357,10.95167
288404,108.10858,10.932554
288406,108.097599,10.928593
288407,105.839086,21.053395
288421,106.675629,10.774924
288502,108.326692,15.883094
288544,105.975487,20.245901
288575,106.694186,10.768061
288586,106.804233,20.679977
288606,108.234802,10.954543
288740,106.741008,10.839942
288754,107.593201,16.465051
288840,108.437805,11.938292
288959,105.861264,21.023323
289130,105.81911,21.009739
289189,108.801488,15.132462
289191,108.7994,15.134087
289195,106.671521,10.792133
289389,108.236122,10.954422
289430,106.694875,10.77224
289447,106.657543,10.762456
289448,106.656359,10.77596
289451,105.84433,21.020569
289456,109.308075,13.101339
289530,107.397709,10.471776
289633,106.70454,10.778241
